contractor_name,license_number,specialty,permit_count,total_project_value
DIG SERVICES,DIGSES*775LE,General Contractor,5,715707
DN HOMES CORPORATION,DNHOMHC838QN,General Contractor,5,1435853
DRENGUIS CONSTRUCTION LLC,DRENGCL809OC,General Contractor,5,736265
DRIFTWOOD NW CONSTRUCTION LLC,DRIFTNC754CS,General Contractor,5,752000
FINE LINE SURFACES LLC,FINELLS886RU,General Contractor,5,2319638
FIX HOME SERVICES LLC,FIXHOHS935L8,General Contractor,5,525000
FOSTER WOODWORKS LLC,FOSTEWL795CE,General Contractor,5,1066990
G-Three Builders Corp,GTHREBC834LL,General Contractor,5,838320
GATEWOOD BUILDERS LLC,GATEWBL809B8,General Contractor,5,534701
GENCAP CONSTRUCTION CORP,GENCACC867J5,General Contractor,5,57841882
GERRY HOMES LLC,GERRYHL860NK,General Contractor,5,3930104
GIBSON FENCE AND DECK LLC,GIBSOFD805CM,General Contractor,5,66753
GILD CONSTRUCTION LLC,GILDCCL792L3,General Contractor,5,729033
GREATER SEATTLE CONST LLC,GREATSC881MR,General Contractor,5,645000
HAIYUAN CONSTRUCTION LLC,HAIYUCL806O8,General Contractor,5,262194
HARDING FERRARIO CONST LLC,HARDIFC839PC,General Contractor,5,567854
HJORTEN HOMES LLC,HJORTHL790OB,General Contractor,5,321687
INFINITY REPLACEMENT LLC,INFINRL757P2,General Contractor,5,99475
JD2023 LLC,JD202L*771LF,General Contractor,5,3449760
JUNITY CONSTRUCTION LLC,JUNITCL761JP,General Contractor,5,3873115
KITCHEN AND MORE,KITCHM*802CK,General Contractor,5,388000
LDB HOMES LLC,LDBHOHL873PA,General Contractor,5,3147471
LEVEL UP CONST & RMDLG CO,LEVELUC782C4,General Contractor,5,782000
METROPOLITAN CONTRACTING LLC,METROCL974ON,General Contractor,5,1456378
MODERNDEN LLC,MODERL*832O6,General Contractor,5,2871639
MOUNTAIN TOP BUILDERS LLC,MOUNTTB918L4,General Contractor,5,1124557
MR RACKS LLC,MRRACRL924BN,General Contractor,5,285745
NEWLIFE INTERIORS INC,NEWLIII950PR,General Contractor,5,246210
NRC HOMES LLC,NRCHOHL797CS,General Contractor,5,1092822
OMEGA SERVICES AND SUPPLY INC,OMEGASS851N8,General Contractor,5,587000
ONNI CONTRACTING (WA) INC,ONNICCW861MS,General Contractor,5,2777760
PALATINE CONSTRUCTION LLC,PALATCL860K3,General Contractor,5,345000
PATTISON GENERAL CONTRACTOR,PATTIGC917C7,General Contractor,5,804119
PCF CONSTRUCTION GROUP,PCFCOCG789N6,General Contractor,5,246187
PLUM PROJECTS LLC,PLUMPPL904DK,General Contractor,5,1980000
PROPER CONSTRUCTION LLC,PROPECL780RW,General Contractor,5,1047035
RAINA HENDERSON INTR DSN LLC,RAINAHI791BG,General Contractor,5,967492
RUSH COMMERCIAL,RUSHCC*913JG,General Contractor,5,60325000
SAYBR CONTRACTORS INC,SAYBRCI033L7,General Contractor,5,409806
SOUND BUILDERS NW LLC,SOUNDBN816LK,General Contractor,5,503402
SSI CONSTRUCTION,SSICOC*843DB,General Contractor,5,700491
STILLWATER MARINE INC,STILLMI940MF,General Contractor,5,177400
SUMMIT DEVELOPMENT LLC,SUMMIDL005CW,General Contractor,5,2131141
SUMMIT PROPERTIES & DEV CO INC,SUMMIPD834KP,General Contractor,5,25000
SUNSET GRILL CONSTRUCTION LLC,SUNSEGC764CF,General Contractor,5,2674098
SYNERGY INC,SYNERI*812NO,General Contractor,5,209197265
TANNER CONSTRUCTION LLC,TANNECL922BU,General Contractor,5,139000
THOMAS JACOBSON CONST INC,THOMAJC926CM,General Contractor,5,1369900
UPPER LEFT LIVING LLC,UPPERLL806R3,General Contractor,5,925108
WALSH CONSTRUCTION CO/WASH,WALSHCC990D1,General Contractor,5,20825737
WOOD SOLUTIONS,WOODSS*810CH,General Contractor,5,285100
WOODCRAFTERS CONSTRUCTION LLC,WOODCCL944BO,General Contractor,5,1270000
WORLD CLASS CONTR & CONST LLC,WORLDCC775JO,General Contractor,5,1026248
